Id,Label,Interlock_Count,AffiliationId,Board_Size
Adelphi University,Adelphi University,0,71965598,27
American University,American University,0,181401687,26
Andrews University,Andrews University,5,102298084,37
Arizona Board of Regents,Arizona Board of Regents,0,138006243,11
Auburn University,Auburn University,2,82497590,16
Ball State University,Ball State University,0,198089087,9
Baylor University,Baylor University,0,157394403,36
Biola University,Biola University,0,152479009,25
Boston College,Boston College,0,103531236,52
Boston University,Boston University,1,111088046,40
Brandeis University,Brandeis University,1,6902469,29
Brown University,Brown University,0,27804330,60
California State University System,California State University System,4,127339247,22
Carnegie Mellon University,Carnegie Mellon University,4,74973139,50
Case Western Reserve University,Case Western Reserve University,1,58956616,42
Catholic University Of America,Catholic University Of America,1,84470341,47
Central Michigan University,Central Michigan University,0,1629065,8
Chapman University,Chapman University,0,185071736,52
Clark Atlanta University,Clark Atlanta University,1,52064589,30
Clark University,Clark University,0,130785548,29
Clarkson University,Clarkson University,0,16944753,34
Clemson University,Clemson University,0,8078737,87
College Of William And Mary,College Of William And Mary,0,16285277,22
Colorado School Of Mines,Colorado School Of Mines,0,167576493,9
Columbia University,Columbia University,0,78577930,22
Cornell University,Cornell University,1,205783295,59
Dartmouth College,Dartmouth College,1,107672454,28
Drexel University,Drexel University,2,72816309,49
Duke University,Duke University,0,170897317,38
Duquesne University,Duquesne University,0,165102784,31
Eastern Michigan University,Eastern Michigan University,0,138216421,8
Emory University,Emory University,3,150468666,39
Florida Institute Of Technology,Florida Institute Of Technology,0,106959904,40
Fordham University,Fordham University,2,164389053,40
George Mason University,George Mason University,0,162714631,19
George Washington University,George Washington University,0,193531525,28
Georgetown University,Georgetown University,2,184565670,39
Harvard University,Harvard University,1,136199984,45
Hofstra University,Hofstra University,0,139290212,34
Howard University,Howard University,0,137853757,24
Illinois Institute Of Technology,Illinois Institute Of Technology,2,180949307,35
Illinois State University,Illinois State University,0,47301684,8
Indiana State University,Indiana State University,0,86420138,8
James Madison University,James Madison University,0,11883440,18
Johns Hopkins University,Johns Hopkins University,0,145311948,36
Lehigh University,Lehigh University,0,186143895,34
Loma Linda University,Loma Linda University,5,26347476,35
Long Island University,Long Island University,1,138873065,31
Loyola Marymount University,Loyola Marymount University,1,35566140,87
Loyola University Chicago,Loyola University Chicago,3,1925986,31
Marquette University,Marquette University,1,102461120,53
Marshall University,Marshall University,0,88694374,16
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,2,63966007,76
Mercer University,Mercer University,0,150149174,45
Michigan State University,Michigan State University,0,87216513,8
Michigan Technological University,Michigan Technological University,0,11957088,9
Mississippi Institutions of Higher Learning,Mississippi Institutions of Higher Learning,0,4210141039,11
Montclair State University,Montclair State University,0,166088655,13
Nevada System of Higher Education,Nevada System of Higher Education,0,68260882,12
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2,118118575,57
New School,New School,0,102179633,42
New York University,New York University,1,57206974,74
North Dakota University System,North Dakota University System,0,4210127926,11
Northern Illinois University,Northern Illinois University,0,102502594,9
Nova Southeastern University,Nova Southeastern University,0,203088144,25
Oakland University,Oakland University,0,177721651,8
Oklahoma State System of Higher Education,Oklahoma State System of Higher Education,0,115475287,10
Old Dominion University,Old Dominion University,0,81365321,13
Pace University,Pace University,0,126863827,24
Pennsylvania State System of Higher Education,Pennsylvania State System of Higher Education,7,29957033,20
Pennsylvania State University,Pennsylvania State University,6,130769515,38
Princeton University,Princeton University,1,20089843,66
Purdue University,Purdue University,0,219193219,10
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,1,165799507,25
Rice University,Rice University,0,74775410,25
Rochester Institute Of Technology,Rochester Institute Of Technology,0,155173764,45
Rowan University,Rowan University,1,44265643,18
Rutgers State University Of New Jersey,Rutgers State University Of New Jersey,0,102322142,68
Seton Hall University,Seton Hall University,1,12524447,54
Southern Illinois University System,Southern Illinois University System,0,2801502357,5
St Johns University,St Johns University,1,142823887,28
Stanford University,Stanford University,0,97018004,33
State University System of Florida,State University System of Florida,1,2801649442,15
State University of New York System,State University of New York System,0,1327163397,17
Syracuse University,Syracuse University,0,70983195,46
Temple University,Temple University,6,84392919,37
Tennessee Board of Regents,Tennessee Board of Regents,4,94658018,20
Texas A&M University System,Texas A&M University System,0,173268674,13
Texas Christian University,Texas Christian University,0,128956969,50
Texas State University System,Texas State University System,0,2801273398,10
Texas Tech University System,Texas Tech University System,0,4210088475,13
Texas Womans University,Texas Womans University,0,150913223,6
Tufts University,Tufts University,0,121934306,40
University Of Chicago,University Of Chicago,3,40347166,52
University Of Connecticut,University Of Connecticut,1,140172145,20
University Of Dayton,University Of Dayton,0,127591826,32
University Of Delaware,University Of Delaware,0,86501945,29
University Of Hartford,University Of Hartford,0,162281398,43
University Of Kentucky,University Of Kentucky,0,143302722,20
University Of La Verne,University Of La Verne,0,708430,33
University Of Louisville,University Of Louisville,1,142740786,12
University Of Michigan,University Of Michigan,0,27837315,8
University Of New Mexico,University Of New Mexico,0,169521973,6
University Of Northern Colorado,University Of Northern Colorado,0,71966907,8
University Of Notre Dame,University Of Notre Dame,2,107639228,49
University Of Pacific,University Of Pacific,0,119942576,25
University Of Pittsburgh,University Of Pittsburgh,9,170201317,53
University Of Rhode Island,University Of Rhode Island,0,17626003,17
University Of San Diego,University Of San Diego,0,160856358,34
University Of South Alabama,University Of South Alabama,2,83809506,16
University Of South Carolina,University Of South Carolina,0,155781252,22
University Of Southern California,University Of Southern California,1,1174212,57
University Of St Thomas Minnesota,University Of St Thomas Minnesota,2,161515732,38
University Of Tulsa,University Of Tulsa,0,87208437,35
University Of Vermont,University Of Vermont,0,111236770,25
University Of Virginia,University Of Virginia,0,51556381,20
University Of Washington,University Of Washington,0,201448701,10
University Of Wyoming,University Of Wyoming,0,12834331,14
University System of Georgia,University System of Georgia,0,1289702989,19
University System of New Hampshire,University System of New Hampshire,1,2800453862,22
University System of Ohio,University System of Ohio,0,2802096936,6
University of Alabama System,University of Alabama System,2,2800507078,18
University of Alaska System,University of Alaska System,0,2802090665,13
University of Arkansas System,University of Arkansas System,0,2799691083,13
University of California System,University of California System,4,2803209242,31
University of Colorado System,University of Colorado System,0,2802236040,9
University of Hawaii System,University of Hawaii System,0,1331384533,17
University of Houston System,University of Houston System,0,2801525821,9
University of Illinois System,University of Illinois System,0,2801919071,12
University of Louisiana System,University of Louisiana System,0,2799628689,32
University of Maine System,University of Maine System,0,2802397601,14
University of Massachusetts System,University of Massachusetts System,1,2802841742,25
University of Missouri System,University of Missouri System,0,4777552,9
University of Nebraska System,University of Nebraska System,0,2802450327,12
University of North Carolina System,University of North Carolina System,0,4210158053,28
University of North Texas System,University of North Texas System,0,2802090120,11
University of Tennessee System,University of Tennessee System,4,2799495847,26
University of Texas System,University of Texas System,1,16452829,10
University of Wisconsin System,University of Wisconsin System,0,1304256225,19
Vanderbilt University,Vanderbilt University,1,200719446,24
Villanova University,Villanova University,0,7863295,33
Virginia Commonwealth University,Virginia Commonwealth University,0,184840846,15
Virginia Polytechnic Institute And State University,Virginia Polytechnic Institute And State University,0,859038795,20
Wake Forest University,Wake Forest University,0,47251452,48
Washington State University,Washington State University,0,72951846,10
Washington University,Washington University,1,204465549,61
West Virginia University,West Virginia University,0,12097938,15
Western Michigan University,Western Michigan University,0,141649380,7
Widener University,Widener University,1,138659443,25
Worcester Polytechnic Institute,Worcester Polytechnic Institute,0,107077323,29
Yale University,Yale University,1,32971472,19
Yeshiva University,Yeshiva University,1,19772626,38
